Cities: 1, Mean: 0.0, SD: 0.0
Cities: 2, Mean: 97.35228571859085, SD: 39.9017190574521
Cities: 3, Mean: 160.30594793008254, SD: 44.57345334146825
Cities: 4, Mean: 171.69578764859557, SD: 30.865456911510847
Cities: 5, Mean: 215.4751619042909, SD: 52.6410014835374
Cities: 6, Mean: 242.0091961718475, SD: 25.081239352797436
Cities: 7, Mean: 260.47721790961305, SD: 45.49926239506231
Cities: 8, Mean: 264.2998135996717, SD: 44.608841133228694
Cities: 9, Mean: 285.1464793740581, SD: 33.04189984615093
Cities: 10, Mean: 287.8142086303439, SD: 23.8060864154253
Cities: 11, Mean: 318.04202725478854, SD: 36.63162286442302
Cities: 12, Mean: 340.6470905872142, SD: 46.19384076843649
Cities: 13, Mean: 346.21528153399095, SD: 29.716536404287737
Cities: 14, Mean: 358.99880849659905, SD: 42.501832527009874
Cities: 15, Mean: 392.66222127877467, SD: 34.09796233513752
Cities: 16, Mean: 409.3923370198026, SD: 53.00630563086503

ConstantT * 0.99
