Empty Cells, BacktrackFWHeuristics Assignments
71, 10
70, 11
69, 12
68, 13
67, 14
66, 15
65, 16
64, 17
63, 18
62, 19
61, 20
60, 21
59, 22
58, 23
57, 24
56, 25
55, 26
54, 27
53, 28
52, 29
51, 30
50, 31
49, 32
48, 33
47, 34
46, 35
45, 36
44, 37
43, 38
42, 39.2
41, 40
40, 41
39, 43
38, 43
37, 46.4
36, 47.5
35, 47.8
34, 49.8
33, 54.5
32, 55.2
31, 52
30, 58.4
29, 74.4
28, 62.2
27, 73.4
26, 186.5
25, 60.6
24, 83.9
23, 62.5
22, 71.3
21, 78.1
20, 64.3
19, 71.8
18, 63.5
17, 85.1
16, 65.2
15, 89.6
14, 91.9
13, 71.8
12, 69
11, 72
10, 83.4
9, 72
8, 245.7
7, 74
6, 75
5, 76
4, 77.1
3, 78
2, 80.4
1, 81.8
