Empty Cells, BacktrackFW Assignments
71, 10
70, 11
69, 12
68, 13
67, 14
66, 15
65, 16
64, 17
63, 18
62, 19
61, 20
60, 21.1
59, 22
58, 23
57, 24
56, 25
55, 26.3
54, 27
53, 29.5
52, 29.6
51, 31
50, 32.7
49, 32.4
48, 35.4
47, 38
46, 37.7
45, 39.6
44, 47.4
43, 45.6
42, 54.7
41, 52.5
40, 73.4
39, 57.6
38, 65.8
37, 82.9
36, 128.6
35, 104.6
34, 191.6
33, 937.9
32, 166.2
31, 921
30, 475.9
29, 1027.1
28, 1659.9
27, 4285.7
26, 1941.3
25, 1202.8
24, 2254
23, 2190.6
22, 502.8
21, 451.1
20, 1266.4
19, 1741.3
18, 2164.8
17, 2216.3
16, 124.6
15, 2104.6
14, 99.3
13, 986.5
12, 1602.5
11, 141.5
10, 423.1
9, 120.8
8, 112.3
7, 230.6
6, 177
5, 143.3
4, 111
3, 121.9
2, 131.7
1, 128.9
